Designator,Comment,Footprint,Quantity,LCSC,Farnell PN

"C1, C6, C7, C8, C10, C11","100nF","CCNP1608-0603_N","6","C14663",""
"C2, C3, C5, C9","10uF","CCNP2012-0805","4","C15850",""
"C4","2.2uF","CCNP1608-0603_N","1","C23630",""
"D1","MBR120VLSF","SOD-123FL","1","","2306459"
"D4","LED Red","LED1608-0603-RED_N","1","C2286","1581239"
"D5","TFT Display","TFT_320x480 - connector only","1","",""
"J1","USB4085-GF-A","USB4085-GF-A","1","","2924867"
"J2, J4","Connector - JST XH 3-Pin","JST-P3B-PH","2","","1516277"
"J3","Connector - JST XH 2-Pin","JST-P2B-PH","1","",""
"Q1","MMBT3904LT1G","SOT23_M","1","C20526",""
"Q2","BSS84","SOT23_N","1","C8492",""
"R1, R2","330R","CR1608-0603_N","2","C22775",""
"R3, R4","5.1K","CR1608-0603_N","2","C23186",""
"R5, R7","75R","CR1608-0603_N","2","C4275",""
"R6","1K","CR1608-0603_N","1","C21190",""
"R8","10k","CR1608-0603_N","1","C25804",""
"R9","1.5k","CR1608-0603_N","1","C22843",""
"R10","75k","CR1608-0603_N","1","C23242",""
"R11","0R4","CR2012-0805","1","C25271",""
"R12, R13","56k","CR1608-0603_N","2","C23206",""
"S1, S2, S3, S4","SW_SMT_K2-6639SP-C4SC-04","SW_SMT_K2-6639SP-C4SC-04","4","C318888",""
"U1","XC6206P332MR","SOT23_M","1","C5446","8796980"
"U2","MK20DX128VLF5","TSQFP50P900X900-48M","1","",""
"U3","TP4056","ESOP8","1","",""
"Y1","16 MHz","Crystal_SMD_3.2x2.5","1","C13738",""
"Z1","GSOT05C-GS08","SOT23_N","1","C47546","2675347"
